HumanOS backend listening on http://127.0.0.1:8787
External access uses http://<server-ip>:8787
SQLite database: D:\TUe\OneDrive - TU Eindhoven\Humanos\humanos-syy7\backend\data\humanos.db
[06/Aug/2026 18:20:47] "POST /api/schedules/validate HTTP/1.1" 200 -
[06/Aug/2026 18:20:47] "OPTIONS /api/schedules/confirm HTTP/1.1" 204 -
[06/Aug/2026 18:20:47] "POST /api/schedules/confirm HTTP/1.1" 200 -
[06/Aug/2026 18:20:47] "OPTIONS /api/state-transitions HTTP/1.1" 204 -
[06/Aug/2026 18:20:47] "POST /api/state-transitions HTTP/1.1" 201 -
[06/Aug/2026 18:20:47] "OPTIONS /api/chat/turn HTTP/1.1" 204 -
[06/Aug/2026 18:20:49] "POST /api/chat/turn HTTP/1.1" 201 -
[06/Aug/2026 18:20:49] "OPTIONS /api/tasks/task_f04d4bc256fb HTTP/1.1" 204 -
[06/Aug/2026 18:20:49] "PATCH /api/tasks/task_f04d4bc256fb HTTP/1.1" 200 -
[06/Aug/2026 18:20:49] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:20:50] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:20:50] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:21:42] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:21:42] "OPTIONS /api/schedules/validate HTTP/1.1" 204 -
[06/Aug/2026 18:21:42] "POST /api/schedules/validate HTTP/1.1" 200 -
[06/Aug/2026 18:21:42] "OPTIONS /api/schedules/confirm HTTP/1.1" 204 -
[06/Aug/2026 18:21:42] "POST /api/schedules/confirm HTTP/1.1" 200 -
[06/Aug/2026 18:21:42] "OPTIONS /api/state-transitions HTTP/1.1" 204 -
[06/Aug/2026 18:21:42] "POST /api/state-transitions HTTP/1.1" 201 -
[06/Aug/2026 18:21:42] "OPTIONS /api/context-dumps HTTP/1.1" 204 -
[06/Aug/2026 18:21:42] "POST /api/context-dumps HTTP/1.1" 201 -
[06/Aug/2026 18:21:42] "OPTIONS /api/state-transitions HTTP/1.1" 204 -
[06/Aug/2026 18:21:42] "POST /api/state-transitions HTTP/1.1" 201 -
[06/Aug/2026 18:21:42] "OPTIONS /api/tasks/task_f04d4bc256fb HTTP/1.1" 204 -
[06/Aug/2026 18:21:42] "PATCH /api/tasks/task_f04d4bc256fb HTTP/1.1" 200 -
[06/Aug/2026 18:21:42] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:21:42] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:21:42] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:22:14] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:22:14] "OPTIONS /api/reentry HTTP/1.1" 204 -
[06/Aug/2026 18:22:14] "POST /api/reentry HTTP/1.1" 200 -
[06/Aug/2026 18:22:14] "OPTIONS /api/tasks/task_f04d4bc256fb HTTP/1.1" 204 -
[06/Aug/2026 18:22:14] "PATCH /api/tasks/task_f04d4bc256fb HTTP/1.1" 200 -
[06/Aug/2026 18:22:14] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:22:14] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:22:14] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:22:54] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:22:54] "OPTIONS /api/chat/turn HTTP/1.1" 204 -
[06/Aug/2026 18:22:56] "POST /api/chat/turn HTTP/1.1" 201 -
